destination	md5
kickstart/v3-1-r40-063/a500-a600-a2000/bad-dump/kickstart-v3-1-r40-063-1993-07-commodore-a500-a600-a2000-b.rom	e62ebae14d902f3057904f98b5d4c4cd
kickstart/v3-1-r40-063/a500-a600-a2000/good/kickstart-v3-1-r40-063-1993-07-commodore-a500-a600-a2000-good.rom	e40a5dfb3d017ba8779faba30cbd1c8e
kickstart/v3-1-r40-063/a500-a600-a2000/hack-shapeshifter/kickstart-v3-1-r40-063-1993-07-commodore-a500-a600-a2000-h-shapeshifter.rom	b7fac88c1065fd3994b66e23041c7354
kickstart/v3-1-r40-063/a500-a600-a2000/overdump-bad-dump/kickstart-v3-1-r40-063-1993-07-commodore-a500-a600-a2000-o-b.rom	cf30dccf68059ed3f775c20bcc755ed6
kickstart/v3-1-r40-068/a1200/fixed-harry-sintonen-hack-version-number/kickstart-v3-1-r40-068-1993-12-commodore-a1200-f-harry-sintonen-h-version-number.rom	345863c6af3394f99a3b3a094d7ecc9d
kickstart/v3-1-r40-068/a1200/good/kickstart-v3-1-r40-068-1993-12-commodore-a1200-good.rom	646773759326fbac3b2311fd8c8793ee
kickstart/v3-1-r40-068/a1200/hack-shapeshifter/kickstart-v3-1-r40-068-1993-12-commodore-a1200-h-shapeshifter.rom	6d48c396abd5d29ef49ce028959711a2
kickstart/v3-1-r40-068/a3000/good/kickstart-v3-1-r40-068-1993-12-commodore-a3000-good.rom	413590e50098a056cfec418d3df0212d
kickstart/v3-1-r40-068/a4000/encrypted-needs-rom-key/kickstart-v3-1-r40-068-1993-12-commodore-a4000-encrypted-needs-rom-key.rom	edf45497833cf69a4668d1e9ad44eb58
kickstart/v3-1-r40-068/a4000/good/kickstart-v3-1-r40-068-1993-12-commodore-a4000-good.rom	9bdedde6a4f33555b4a270c8ca53297d
kickstart/v3-1-r40-068/a4000/hack-cloanto/kickstart-v3-1-r40-068-1993-12-commodore-a4000-h-cloanto.rom	730888fb1bd9a3606d51f772ed136528
kickstart/v3-1-r40-068/a4000/hack-shapeshifter/kickstart-v3-1-r40-068-1993-12-commodore-a4000-h-shapeshifter.rom	9c7195ba3098317082159599b8d6dc6b
kickstart/v3-1-r40-068/a600/beta-good-developer/kickstart-v3-1-r40-068-1993-12-commodore-a600-beta-good-developer.rom	0d527eaf6cf3d25a69f7b82716ed3eac
kickstart/v3-1-r40-068/a600/beta-hack-developer/kickstart-v3-1-r40-068-1993-12-commodore-a600-beta-h-developer.rom	0b839c665635a249c5736118c68a69a7
kickstart/v3-1-r40-070/a3000/beta-hack/kickstart-v3-1-r40-070-1994-02-commodore-a3000-beta-h.rom	e553af2051b7f9558a56aa240aed3db3
kickstart/v3-1-r40-070/a4000/beta-bad-dump/kickstart-v3-1-r40-070-1994-02-commodore-a4000-beta-b.rom	6e2a13b268b0105584401b78a4f9c43b
kickstart/v3-1-r40-070/a4000/beta-good/kickstart-v3-1-r40-070-1994-02-commodore-a4000-beta-good.rom	402dc47a03e01fcd466742d0760b5913
kickstart/v3-1-r40-070/a4000/beta-hack-2/kickstart-v3-1-r40-070-1994-02-commodore-a4000-beta-h2.rom	6c26188edcd275ddc6a13642f5b6ad18
kickstart/v3-1-r40-070/a4000/beta-hack-faked-v3-5/kickstart-v3-1-r40-070-1994-02-commodore-a4000-beta-h-faked-v3-5.rom	7bf014c3e646a6e4f92eafe8560869fd
kickstart/v3-1-r40-070/a4000/beta-hack/kickstart-v3-1-r40-070-1994-02-commodore-a4000-beta-h.rom	88f6e141541c677f91b50893933a4eff
kickstart/v3-1-r40-070/a4000t/good/kickstart-v3-1-r40-070-1994-02-commodore-a4000t-good.rom	e873c43040b4d7a9c65f37cf2da2158f
kickstart/v3-1-r40-070/a500-a600-a2000/beta-hack/kickstart-v3-1-r40-070-1994-02-commodore-a500-a600-a2000-beta-h.rom	77978bea93438bcb9d871aa7a9e1660d
