commit	score	status	description
314376a	1.000000	discard	discard run 2026-03-13T03-56-41-017Z-72 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-56-57-331Z-73 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-57-14-022Z-74 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-57-30-233Z-75 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-57-46-449Z-76 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-58-02-875Z-77 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-58-19-172Z-78 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-58-36-333Z-79 mode=playfield_marker source=amiga_workspace/benchmarks/audio_tone/reference/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-58-52-537Z-80 mode=playfield_marker source=amiga_workspace/benchmarks/audio_tone/control/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-59-08-602Z-81 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-59-24-682Z-82 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-59-40-889Z-83 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-59-57-161Z-84 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T04-00-13-331Z-85 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T04-00-29-437Z-86 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T04-00-45-483Z-87 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T04-01-01-398Z-88 mode=playfield_marker source=amiga_workspace/benchmarks/audio_tone/reference/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T04-01-17-447Z-89 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T04-01-33-501Z-90 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T04-01-49-652Z-91 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T04-02-05-990Z-92 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T04-02-22-201Z-93 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T04-02-37-975Z-94 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
