source_rel	curated_rel	reason	has_entry	assemble_rc
amiga_workspace/corpus/raw/amiga_examples/018.vert_scroll/utils.s	amiga_workspace/corpus/curated/amiga_examples/018.vert_scroll/utils.s	no_entry_hint	0	
amiga_workspace/corpus/raw/amiga_examples/018.vert_scroll/vert_scroll.s	amiga_workspace/corpus/curated/amiga_examples/018.vert_scroll/vert_scroll.s	no_entry_hint	0	
amiga_workspace/corpus/raw/amiga_examples/019.hori_scroll/constants.i	amiga_workspace/corpus/curated/amiga_examples/019.hori_scroll/constants.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/amiga_examples/019.hori_scroll/hori_scroll.s	amiga_workspace/corpus/curated/amiga_examples/019.hori_scroll/hori_scroll.s	no_entry_hint	0	
amiga_workspace/corpus/raw/amiga_examples/019.hori_scroll/init.s	amiga_workspace/corpus/curated/amiga_examples/019.hori_scroll/init.s	no_entry_hint	0	
amiga_workspace/corpus/raw/amiga_examples/019.hori_scroll/utils.s	amiga_workspace/corpus/curated/amiga_examples/019.hori_scroll/utils.s	no_entry_hint	0	
amiga_workspace/corpus/raw/amiga_examples/020.shrinkler/constants.i	amiga_workspace/corpus/curated/amiga_examples/020.shrinkler/constants.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/amiga_examples/020.shrinkler/init.s	amiga_workspace/corpus/curated/amiga_examples/020.shrinkler/init.s	no_entry_hint	0	
amiga_workspace/corpus/raw/amiga_examples/020.shrinkler/shrinkler.s	amiga_workspace/corpus/curated/amiga_examples/020.shrinkler/shrinkler.s	no_entry_hint	0	
amiga_workspace/corpus/raw/amiga_examples/020.shrinkler/utils.s	amiga_workspace/corpus/curated/amiga_examples/020.shrinkler/utils.s	no_entry_hint	0	
amiga_workspace/corpus/raw/amiga_examples/021.calling_c/calling_c.s	amiga_workspace/corpus/curated/amiga_examples/021.calling_c/calling_c.s	no_entry_hint	0	
amiga_workspace/corpus/raw/amiga_examples/021.calling_c/constants.i	amiga_workspace/corpus/curated/amiga_examples/021.calling_c/constants.i	not_runnable_ext	0	
